FID,OID,lat,lon
290,0,34.875,107.125
291,0,34.875,107.375
292,0,34.875,107.625
293,0,34.875,107.875
294,0,34.875,108.125
295,0,34.875,108.375
296,0,34.875,108.625
297,0,34.875,108.875
298,0,34.875,109.125
299,0,34.875,109.375
300,0,34.875,109.625
301,0,34.875,109.875
302,0,34.875,110.125
303,0,34.875,110.375
304,0,34.875,110.625
305,0,34.875,110.875
306,0,34.875,111.125
307,0,34.875,111.375
308,0,34.875,111.625
309,0,34.875,111.875
310,0,34.875,112.125
311,0,34.875,112.375
312,0,34.875,112.625
313,0,34.875,112.875
314,0,34.875,113.125
315,0,34.875,113.375
316,0,34.875,113.875
317,0,34.875,114.125
318,0,34.875,114.375
319,0,34.875,114.625
320,0,35.125,96.125
321,0,35.125,96.375
322,0,35.125,96.625
323,0,35.125,96.875
324,0,35.125,97.125
325,0,35.125,97.375
326,0,35.125,97.625
327,0,35.125,97.875
328,0,35.125,98.125
329,0,35.125,99.125
330,0,35.125,99.375
331,0,35.125,99.625
332,0,35.125,99.875
333,0,35.125,100.125
334,0,35.125,100.375
335,0,35.125,100.625
336,0,35.125,100.875
337,0,35.125,101.125
338,0,35.125,101.375
339,0,35.125,101.625
340,0,35.125,101.875
341,0,35.125,102.125
342,0,35.125,102.375
343,0,35.125,102.625
344,0,35.125,102.875
345,0,35.125,103.125
346,0,35.125,103.375
347,0,35.125,103.625
348,0,35.125,103.875
349,0,35.125,104.125
350,0,35.125,104.375
351,0,35.125,104.625
352,0,35.125,104.875
353,0,35.125,105.125
354,0,35.125,105.375
355,0,35.125,105.625
356,0,35.125,105.875
357,0,35.125,106.125
358,0,35.125,106.375
359,0,35.125,106.625
360,0,35.125,106.875
361,0,35.125,107.125
362,0,35.125,107.375
363,0,35.125,107.625
364,0,35.125,107.875
365,0,35.125,108.125
366,0,35.125,108.375
367,0,35.125,108.625
368,0,35.125,108.875
369,0,35.125,109.125
370,0,35.125,109.375
371,0,35.125,109.625
372,0,35.125,109.875
373,0,35.125,110.125
374,0,35.125,110.375
375,0,35.125,110.625
376,0,35.125,110.875
377,0,35.125,111.125
378,0,35.125,111.375
379,0,35.125,111.625
380,0,35.125,111.875
381,0,35.125,112.125
382,0,35.125,112.375
383,0,35.125,112.625
384,0,35.125,112.875
385,0,35.125,113.875
386,0,35.125,114.125
387,0,35.125,114.375
388,0,35.125,114.625
389,0,35.125,114.875
390,0,35.375,96.875
391,0,35.375,97.625
392,0,35.375,99.375
393,0,35.375,99.625
394,0,35.375,99.875
395,0,35.375,100.125
396,0,35.375,100.375
397,0,35.375,100.625
398,0,35.375,100.875
399,0,35.375,101.125
400,0,35.375,101.375
401,0,35.375,101.625
402,0,35.375,101.875
403,0,35.375,102.125
404,0,35.375,102.375
405,0,35.375,102.625
406,0,35.375,102.875
407,0,35.375,103.125
408,0,35.375,103.375
409,0,35.375,103.625
